2022-05-26 13:05:227 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 13:05:675 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (25166bd5daa40b6952786bb429de1972)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 13:05:779 INFO  AuthPage :171 - Sending emailaddress test1234@nodomain.com to [[ChromeDriver: chrome on WINDOWS (25166bd5daa40b6952786bb429de1972)] -> xpath: //input[@id='email']]
2022-05-26 13:05:853 INFO  AuthPage :176 - Sending password Password123 to [[ChromeDriver: chrome on WINDOWS (25166bd5daa40b6952786bb429de1972)] -> xpath: //input[@id='passwd']]
2022-05-26 13:05:767 INFO  AuthPage :143 - Clicking on Sign IN [[ChromeDriver: chrome on WINDOWS (25166bd5daa40b6952786bb429de1972)] -> xpath: //button[@id='SubmitLogin']]
2022-05-26 13:05:814 INFO  MyAccountPage :117 - Mouse Hover to Dresses from Top Menu :[[ChromeDriver: chrome on WINDOWS (25166bd5daa40b6952786bb429de1972)] -> xpath: //header/div[3]/div[1]/div[1]/div[6]/ul[1]/li[2]/a[1]]
2022-05-26 13:05:586 INFO  MyAccountPage :122 - Click on Casual Dress :[[ChromeDriver: chrome on WINDOWS (25166bd5daa40b6952786bb429de1972)] -> xpath: //li/h5/a[@class='subcategory-name' and contains(text(),'Casual Dresses')]]
2022-05-26 13:05:871 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 13:05:916 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 13:05:655 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 13:05:757 INFO  AuthPage :171 - Sending emailaddress Lalit123@gmail.com to [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //input[@id='email']]
2022-05-26 13:05:825 INFO  AuthPage :176 - Sending password Password123 to [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //input[@id='passwd']]
2022-05-26 13:05:297 INFO  AuthPage :143 - Clicking on Sign IN [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //button[@id='SubmitLogin']]
2022-05-26 13:05:798 INFO  MyAccountPage :117 - Mouse Hover to Dresses from Top Menu :[[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //header/div[3]/div[1]/div[1]/div[6]/ul[1]/li[2]/a[1]]
2022-05-26 13:05:524 INFO  MyAccountPage :122 - Click on Casual Dress :[[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //li/h5/a[@class='subcategory-name' and contains(text(),'Casual Dresses')]]
2022-05-26 13:05:516 INFO  CommonPage :30 - Entering Printed Dress Account[[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //ul[@class='product_list grid row']//a[@class='product-name' and contains(text(),'Printed Dress')]]
2022-05-26 13:05:530 INFO  ProductPage :37 - Clearing Quantity [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //input[@id='quantity_wanted']]
2022-05-26 13:05:579 INFO  ProductPage :32 - Sending text to Quantity : 2 to [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //input[@id='quantity_wanted']]
2022-05-26 13:05:641 INFO  ProductPage :42 - Clicking on Add to Cart [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //span[contains(text(),'Add to cart')]]
2022-05-26 13:05:694 INFO  ProductPage :47 - Clicking on Close button [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //header/div[3]/div[1]/div[1]/div[4]/div[1]/div[1]/span[1]]
2022-05-26 13:05:357 INFO  MyAccountPage :127 - MouseHover on Women Tab :[[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //header/div[3]/div[1]/div[1]/div[6]/ul[1]/li[2]/a[1]]
2022-05-26 13:05:463 INFO  MyAccountPage :132 - Click on Top Tab :[[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //li/h5/a[@class='subcategory-name' and contains(text(),'Tops')]]
2022-05-26 13:05:185 INFO  CommonPage :35 - Entering Faced Short Sleeve T-Shirts[[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //ul[@class='product_list grid row']//a[@class='product-name' and contains(text(),'Faded Short Sleeve T-shirts')]]
2022-05-26 13:05:203 INFO  ProductPage :37 - Clearing Quantity [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //input[@id='quantity_wanted']]
2022-05-26 13:05:247 INFO  ProductPage :32 - Sending text to Quantity : 3 to [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //input[@id='quantity_wanted']]
2022-05-26 13:05:293 INFO  ProductPage :42 - Clicking on Add to Cart [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //span[contains(text(),'Add to cart')]]
2022-05-26 13:05:340 INFO  ProductPage :47 - Clicking on Close button [[ChromeDriver: chrome on WINDOWS (7d8f0f9f77805438ba4836a1f1260539)] -> xpath: //header/div[3]/div[1]/div[1]/div[4]/div[1]/div[1]/span[1]]
2022-05-26 13:05:321 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 13:05:04 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (4cc87c6920da312ff9e6371ebed6db2f)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 13:05:91 INFO  AuthPage :171 - Sending emailaddress Lalit123@gmail.com to [[ChromeDriver: chrome on WINDOWS (4cc87c6920da312ff9e6371ebed6db2f)] -> xpath: //input[@id='email']]
2022-05-26 13:05:164 INFO  AuthPage :176 - Sending password Password123 to [[ChromeDriver: chrome on WINDOWS (4cc87c6920da312ff9e6371ebed6db2f)] -> xpath: //input[@id='passwd']]
2022-05-26 13:05:935 INFO  AuthPage :143 - Clicking on Sign IN [[ChromeDriver: chrome on WINDOWS (4cc87c6920da312ff9e6371ebed6db2f)] -> xpath: //button[@id='SubmitLogin']]
2022-05-26 13:05:171 INFO  MyAccountPage :187 - Click on Contact Us Button[[ChromeDriver: chrome on WINDOWS (4cc87c6920da312ff9e6371ebed6db2f)] -> xpath: //div[@id='contact-link']/a]
2022-05-26 13:05:257 INFO  ContactPage :40 - Selecting Customer Service from drop down : [[ChromeDriver: chrome on WINDOWS (4cc87c6920da312ff9e6371ebed6db2f)] -> xpath: //select[@id='id_contact']]
2022-05-26 13:05:906 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 13:05:912 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 13:05:15 INFO  AuthPage :171 - Sending emailaddress Lalit123@gmail.com to [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //input[@id='email']]
2022-05-26 13:05:86 INFO  AuthPage :176 - Sending password Password123 to [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //input[@id='passwd']]
2022-05-26 13:05:647 INFO  AuthPage :143 - Clicking on Sign IN [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //button[@id='SubmitLogin']]
2022-05-26 13:05:329 INFO  MyAccountPage :117 - Mouse Hover to Dresses from Top Menu :[[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //header/div[3]/div[1]/div[1]/div[6]/ul[1]/li[2]/a[1]]
2022-05-26 13:05:564 INFO  MyAccountPage :122 - Click on Casual Dress :[[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //li/h5/a[@class='subcategory-name' and contains(text(),'Casual Dresses')]]
2022-05-26 13:05:313 INFO  CommonPage :30 - Entering Printed Dress Account[[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //ul[@class='product_list grid row']//a[@class='product-name' and contains(text(),'Printed Dress')]]
2022-05-26 13:05:331 INFO  ProductPage :37 - Clearing Quantity [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //input[@id='quantity_wanted']]
2022-05-26 13:05:383 INFO  ProductPage :32 - Sending text to Quantity : 2 to [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //input[@id='quantity_wanted']]
2022-05-26 13:05:441 INFO  ProductPage :42 - Clicking on Add to Cart [[ChromeDriver: chrome on WINDOWS (ee881f3e5934f6b63c90741e431548d3)] -> xpath: //span[contains(text(),'Add to cart')]]
